"","country","year","importValue","politicalStability","governmentEffectiveness","ruleOfLaw"
"148","azerbaijan",2010,"1348037",-1.25603568553925,-0.25327804684639,-0.368347138166428
"149","bahrain",1996,"272909",-0.742810547351837,-0.411950498819351,0.530228674411774
"150","bahrain",1998,"3139237",-1.11136972904205,-0.264172822237015,0.658022403717041
"151","bahrain",2000,"3993389",-1.10283756256104,-0.0159222222864628,0.692275404930115
"152","bahrain",2002,"2249726",-0.620176732540131,0.192737191915512,0.866833686828613
"153","bahrain",2003,"721187",-0.686418116092682,0.42801907658577,0.621852397918701
"154","bahrain",2004,"444860",-0.616631686687469,0.288486808538437,0.732487320899963
"155","bahrain",2005,"504248",-0.805771827697754,-0.0239662304520607,0.687756538391113
"156","bahrain",2006,"11382660",-0.90728086233139,-0.390185445547104,0.702382564544678
"157","bahrain",2007,"2644750",-0.861876666545868,-0.241927951574326,0.792530119419098
"158","bahrain",2008,"2847294",-0.874837398529053,-0.235914766788483,0.723805904388428
"159","bahrain",2009,"2323813",-0.799028515815735,-0.162725687026978,0.71385395526886
"160","bahrain",2010,"5682688",-0.971696794033051,-0.506586134433746,0.73200660943985
"161","bangladesh",1996,"1853944",-0.123880349099636,-0.61253947019577,-1.0608332157135
"162","bangladesh",1998,"970919",-0.169313862919807,-0.453661799430847,-0.894766628742218
"163","bangladesh",2000,"2605748",-0.314419776201248,-0.766134977340698,-0.873219668865204
"164","bangladesh",2002,"1009446",-0.523010194301605,-1.07861256599426,-1.01192533969879
"165","bangladesh",2003,"3521597",-0.631293416023254,-1.141557097435,-0.923976421356201
"166","bangladesh",2004,"15542913",-0.680388510227203,-1.37958908081055,-1.09522390365601
"167","bangladesh",2005,"3224458",-0.604699730873108,-1.84148359298706,-1.03247582912445
"168","bangladesh",2006,"3633755",-0.483471065759659,-1.47621071338654,-0.955556750297546
"169","bangladesh",2007,"23343813",-0.542060196399689,-1.49828064441681,-0.905799746513367
"170","bangladesh",2008,"8604",-0.46894234418869,-1.48281002044678,-0.890753090381622
"171","bangladesh",2009,"1196417",-0.301369041204453,-1.54108226299286,-0.845874726772308
"172","bangladesh",2010,"2268017",-0.281164437532425,-1.39873051643372,-0.834019303321838
"173","barbados",1996,"68505",1.47296380996704,0.960007131099701,1.27776098251343
"174","barbados",1998,"261060",1.41429328918457,0.99563729763031,1.29370367527008
"175","barbados",2000,"348735",1.41176426410675,1.0486820936203,1.26383972167969
"176","barbados",2002,"415185",1.34584319591522,0.993800282478333,1.05923795700073
"177","barbados",2003,"868255",1.22338354587555,0.907076597213745,1.08565425872803
"178","barbados",2004,"453547",1.15998482704163,1.15472257137299,1.0439727306366
"179","barbados",2005,"774911",1.05988132953644,1.15073037147522,1.16007041931152
"180","barbados",2006,"942768",1.14226686954498,0.942500829696655,0.853532671928406
"181","barbados",2007,"319399",1.12673604488373,1.0890406370163,0.895762920379639
"182","barbados",2008,"528639",1.05672478675842,1.10191881656647,0.848019957542419
"183","barbados",2009,"637002",1.20136904716492,1.06445252895355,0.531372487545013
"184","barbados",2010,"742464",1.20916485786438,1.09381628036499,0.450082302093506
"185","belarus",1996,"68315",-1.07120418548584,0.00401893723756075,-1.09181201457977
"186","belarus",1998,"124561",-0.853996574878693,0.0210178233683109,-1.85145974159241
"187","belarus",2000,"387377",-1.34540605545044,0.0583451464772224,-1.75270450115204
"188","belarus",2002,"214774",-1.48691344261169,0.225316807627678,-1.57958126068115
"189","belarus",2003,"419990",-1.49820339679718,0.679559111595154,-1.35311138629913
"190","belarus",2004,"243975",-1.58731186389923,0.164913907647133,-1.23046433925629
"191","belarus",2005,"257600",-1.77031791210175,0.347500145435333,-1.47526109218597
"192","belarus",2006,"590309",-1.74529838562012,0.131609976291656,-1.63851237297058
"193","belarus",2007,"843769",-1.6935133934021,0.306979715824127,-1.43218970298767
"194","belarus",2008,"918991",-1.57457387447357,0.502490758895874,-1.25220000743866
"195","belarus",2009,"797924",-1.53425121307373,0.468292206525803,-1.14992332458496
"196","belarus",2010,"1483634",-1.53647136688232,-0.132864475250244,-1.15690851211548
"197","belgium",1996,"45286428",1.46189653873444,1.21119582653046,1.19326210021973
"198","belgium",1998,"40691212",1.35908246040344,0.97111839056015,1.02356314659119
"199","belgium",2000,"45252840",1.38894855976105,1.04783809185028,1.18037211894989
"200","belgium",2002,"45439018",1.38968276977539,1.17139077186584,1.27892911434174
"201","belgium",2003,"34351369",1.45580291748047,0.837679982185364,1.28845107555389
"202","belgium",2004,"34560696",1.44933891296387,0.703575611114502,1.36692142486572
"203","belgium",2005,"35099357",1.41171979904175,0.782154262065887,1.24785053730011
"204","belgium",2006,"34694614",1.36138832569122,0.848230123519897,1.32146537303925
"205","belgium",2007,"52927911",1.38419008255005,0.767971217632294,1.41639471054077
"206","belgium",2008,"60584194",1.34714734554291,0.621007859706879,1.39464569091797
"207","belgium",2009,"52731970",1.36464476585388,0.792106986045837,1.32223916053772
"208","belgium",2010,"57060667",1.38192486763,0.781590223312378,1.29039335250854
"209","belize",1996,"146380",0.781923711299896,0.460658073425293,0.164440840482712
"210","belize",1998,"243635",0.850087583065033,0.499040126800537,0.108157992362976
"211","belize",2000,"184951",0.944929778575897,0.105227798223495,-0.0320009514689445
"212","belize",2002,"315793",0.778682589530945,0.343987435102463,-0.0460048019886017
"213","belize",2003,"156936",0.876422166824341,0.469381988048553,0.0467315316200256
"214","belize",2004,"174277",0.765532970428467,0.436372339725494,-0.187449187040329
"215","belize",2005,"367005",0.746059477329254,0.10799191147089,-0.0541962869465351
"216","belize",2006,"138978",0.49974399805069,0.054783396422863,-0.390922278165817
"217","belize",2007,"238950",0.494129687547684,0.164801806211472,-0.448578149080276
"218","belize",2008,"393170",0.619366466999054,0.180901661515236,-0.470083802938461
"219","belize",2009,"679175",0.748052775859833,0.027833690866828,-0.469800800085068
"220","belize",2010,"599442",0.675731420516968,0.0636423230171204,-0.445972621440887
"221","benin",1996,"7949",0.117397345602512,0.960007131099701,-0.197604119777679
"222","benin",1998,"16792",0.340619057416916,0.661969006061554,-0.173420488834381
"223","benin",2000,"18650",0.360479116439819,0.720592319965363,-0.207505628466606
"224","benin",2002,"35551",-0.00552295614033937,0.740132212638855,-0.436346530914307
"225","benin",2003,"40439",0.236438289284706,0.666792571544647,-0.502157092094421
"226","benin",2004,"1861",0.10026179254055,0.257207989692688,-0.476645618677139
"227","benin",2005,"28644",0.012576550245285,0.450789600610733,-0.573194324970245
"228","benin",2006,"2943",0.330746114253998,0.517111957073212,-0.402211099863052
"229","benin",2007,"2744",0.336236268281937,0.333819270133972,-0.418921709060669
"230","bermuda",1996,"149618",1.12541723251343,0.646916091442108,1.48293137550354
"231","bermuda",1998,"81010",1.10329914093018,0.652129173278809,1.50200891494751
"232","bermuda",2000,"28397",0.876798272132874,0.643760323524475,1.47702121734619
"233","bermuda",2002,"113169",1.05355715751648,0.718024492263794,1.41610074043274
"234","bermuda",2003,"16871",1.09633541107178,0.824413537979126,1.38884782791138
"235","bermuda",2004,"157481",1.08434462547302,0.909027993679047,1.3994973897934
"236","bermuda",2005,"52988",1.12139999866486,0.844783127307892,1.34656763076782
"237","bermuda",2006,"129772",1.04388165473938,0.817620098590851,1.34145057201385
"238","bermuda",2007,"34109",1.00713038444519,0.801467418670654,1.36198043823242
"239","bermuda",2008,"16750",1.00392031669617,0.826721787452698,1.380335688591
"240","bermuda",2009,"178364",0.99561208486557,0.718571543693542,1.38196277618408
"241","bermuda",2010,"185249",1.02395820617676,0.938713669776917,1.36815905570984
"242","bhutan",1996,"2525",-0.812734186649323,0.615881562232971,-0.441609412431717
"243","bhutan",1998,"1824",-0.986582636833191,0.443428754806519,-0.42670276761055
"244","bhutan",2000,"682",-0.98253321647644,0.412910044193268,-0.374103367328644
"245","bhutan",2005,"3245",-1.03390371799469,1.30476796627045,-0.429986715316772
"246","bhutan",2007,"4586",-0.842195570468903,0.621620059013367,-0.726862668991089
"247","bhutan",2008,"21150",-0.561919033527374,0.751302301883698,-0.827478170394897
"248","bhutan",2009,"6425",-0.514456689357758,0.815643072128296,-1.09638023376465
"249","bhutan",2010,"2650",-0.458017438650131,0.774687469005585,-1.19410586357117
"250","bosnia and herzegovina",1996,"915583",-0.182059675455093,-0.638185679912567,-0.698034763336182
"251","bosnia and herzegovina",1998,"3074222",-0.134326383471489,-0.627070546150208,-0.821882903575897
"252","bosnia and herzegovina",2000,"1202739",-0.253896504640579,-0.586754143238068,-0.479808479547501
"253","bosnia and herzegovina",2002,"1111132",-0.19595131278038,-0.248592987656593,-0.559472739696503
"254","bosnia and herzegovina",2003,"2065239",0.14082083106041,-0.437279045581818,-0.478657841682434
"255","bosnia and herzegovina",2004,"2092096",0.115338057279587,-0.0313867516815662,-0.190769031643867
"256","bosnia and herzegovina",2005,"3652589",0.180182307958603,-0.467459410429001,-0.491096615791321
